mean_total_return,w_HOLD+Galaxis+EURO+Abszolút+Hozamú+Alapok+Alapja,w_HOLD+Hozamkereső+Európai+Származtatott+Részvény+Befektetési+Alap,w_HOLD+Kötvény+Befektetési+Alap,w_HOLD+Közép-európai+Részvény+Befektetési+Alap,w_HOLD+Nemzetközi+Részvény+Alapok+Alapja+A+sorozat,w_HOLD+Orion+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Részvény+Befektetési+Alap+A+sorozat+HUF,w_HOLD+Részvény+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Rövid+Futamidejű+Kötvény+Befektetési+Alap,w_HOLD+Széf+USD+Abszolút+Hozamú+Befektetési+Alap,w_HOLD+VM+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat,w_HOLD+VM+EURO+Abszolút+Hozamú+Alapok+Alapja,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat+HUF,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat+USD,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+E+sorozat+EUR,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+X+sorozat+HUF,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+D+sorozat+EUR
0.141604945063591,0.005414592432765515,0.1166620811205145,0.00033376694179255333,0.06710555371148255,0.16751104676504638,0.034561170776824836,0.21396590350400943,0.022307150762001175,0.020981116349787356,0.01668662726470279,0.021400481065895368,0.0077316812603661885,0.018392540252412642,0.011653453270255694,0.07083182619070787,0.07900869416037623,0.022144727347808525,0.04140403324811549,0.061903553575134974
0.1412651240825653,0.03776438657358383,0.0022292015330266407,0.013492311147694395,0.26867629609642935,0.035105607210959074,0.14301471661576243,0.002910059706447233,0.05408303824062266,0.029444306541649916,0.02545337117702994,0.05996003990752589,0.08599831201438038,0.020429821833557064,0.007555568862268427,0.002199992349644199,0.015822739020909686,0.04111290879085593,0.09579129764303586,0.05895602473461696
0.1412566900253296,0.009195244870731721,0.07135994411151847,0.041443482319654654,0.0019768309113855046,0.28279696409504407,0.10361098114093466,0.04919963203165187,0.13447045327252888,0.05025720551753191,0.009821946427726167,0.04115056366797981,0.03480451662830551,0.014341790520356985,0.0094362907689636,0.02862257225825946,0.01514708284242104,0.06481646983048035,0.021076662921117262,0.016471365863408218
0.14119742810726166,0.0027487965491961213,0.011959201732579092,0.01561480345757855,0.03880376295655845,0.252001961316967,0.1463660474661785,0.08191556896474864,0.009354299789359075,0.09126466650693633,0.06918367987672268,0.03221780605850026,0.03728286312880251,0.05037179992177242,0.019089985788878196,0.03522447976158863,0.008110293868915536,0.006021469890924008,0.06843796430702777,0.02403054865676629
0.14098475873470306,0.010673851271705587,0.01892543525778253,0.010045750410560333,0.07228008366252207,0.006550718136168311,0.050719657117301066,0.3322761205717146,0.04864668659720087,0.01927333052665191,0.14397934429472262,0.01040271764330176,0.046494177309626815,0.010822080035286343,0.02882238285661187,0.017300576731677182,0.045203695763547026,0.014700012134530862,0.026459742592530887,0.0864236370865574
0.14051872491836548,0.05991982876557009,0.014278759005779794,0.047555692379004616,0.16543414796861947,0.05519144687672114,0.026347587913340006,0.12057161439443732,0.12480887193801705,0.07921544142015198,0.03270946371328892,0.1121462620768758,0.05416072828057735,0.0064880884789583326,0.018085852022300578,0.016050138691412415,0.018585214255195985,0.03590104545506741,0.012405370074096126,0.00014444629058569958
0.13991796970367432,0.07741223757267769,0.09241554738027521,0.0012053910063516593,0.05635653581939458,0.017222270692850494,0.06296435071383306,0.30740190707554643,0.0013685429470873187,0.06025585323151772,0.01291323100421177,0.01760780391532147,0.019571775578694623,0.03355708108106413,0.0020378034021344207,0.08830807647683188,0.007533142947312759,0.0973987734847449,0.03617044217019176,0.008299233499958305
0.1398012638092041,0.0950523987491014,0.04019799961352722,0.014481805885502526,0.08237990126470901,0.06010704137843901,0.028073772838129042,0.13990121083222745,0.21635416151769724,0.050280187388137165,0.07282037810150369,0.01912745390879122,0.02156881251849503,0.03330244369203138,0.011608365540883368,0.029094261884268415,0.026202014370397386,0.0068045633810628085,0.03875739010380585,0.013885837031290708
0.13898243010044098,0.04936562146895595,0.005799620320004937,0.01494564414958983,0.047955956048522375,0.09367465651787558,0.3480584032220989,0.04626780669086652,0.01629084784959044,0.003662583439938185,0.03283236538598726,0.033869394161379095,0.004394164351458896,0.03740767731147856,0.03700433613305072,0.015714639196194893,0.05485881304249016,0.06930540646530318,0.019431356861802192,0.06916070738341241
0.13896989822387695,0.018579762363730695,0.022814735672380727,0.0520149136406116,0.025916392665209485,0.25100551594960274,0.04873718782638241,0.18358905031729367,0.005880234045463776,0.02209877530517541,0.054157938888455374,0.006303276092625907,0.04576611535819613,0.02529496590217499,0.08572383046794757,0.025238479123228304,0.09282638400179524,0.008419787600759902,0.006858805616941867,0.0187738491620241
